Arrived,Platform,Order Number,Customer,Order Date,SKU,Description,Quantity,Invoice SKU,Invoice Description,Invoice Qty,Notes
*,eBay,16-14280-15496,knigh_stevi,2026-02-26,751008AUSTRALIS,GHS A87 Fast Fret ( Fastfret ) The Original String Cleaner,1,751008AUSTRALIS,GHS A87 FASTFRET 12/C,3,Satchel.
*,eBay,22-14275-31749,jocr-8722,2026-02-27,751008AUSTRALIS,GHS A87 Fast Fret ( Fastfret ) The Original String Cleaner,2,751008AUSTRALIS,GHS A87 FASTFRET 12/C,3,Satchel.
*,eBay,13-14293-75113,fringeimage,2026-02-28,450232AUSTRALIS,Behringer Ultra-Di Di20 DI Box,1,450232AUSTRALIS,BEHRINGER ULTRA-DI DI20 DI BOX,1,Satchel.
*,eBay,04-14311-87694,beantji,2026-03-01,450764AUSTRALIS,Behringer TA5212 Condenser Gooseneck Microphone,1,450764AUSTRALIS,BEHRINGER TA5212 CONDENSER GOOSENECK MICROPHONE,1,on po
